Service,Feature,Status,Priority,Observation,Recommendation,LinkText,LinkUrl
M365,CLOUD_PKI,Success,,"CLOUD_PKI is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,3_PARTY_APP_PATCH,Success,,"3_PARTY_APP_PATCH is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,Intune_ServiceNow,Success,,"Intune_ServiceNow is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,Intune-MAMTunnel,Success,,"Intune-MAMTunnel is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,INTUNE_P2,Success,,"INTUNE_P2 is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,Intune-EPM,Success,,"Intune-EPM is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,REMOTE_HELP,Success,,"REMOTE_HELP is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,Intune_AdvancedEA,Success,,"Intune_AdvancedEA is active in Microsoft Intune Suite, providing infrastructure and services that M365 Copilot depends on",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
M365,Insights by MyAnalytics,Success,,"Insights by MyAnalytics is active in O365 w/o Teams Bundle M5, providing personal productivity analytics alongside Copilot usage",,Personal Productivity Insights,https://learn.microsoft.com/viva/insights/
M365,Insights by MyAnalytics,Success,,Current user metrics: 0 total active users with 0 email users. Viva Insights Personal provides productivity analytics to track how Copilot impacts work patterns across your organization.,,Personal Productivity Insights,https://learn.microsoft.com/viva/insights/
