Service,Feature,Status,Priority,Observation,Recommendation,LinkText,LinkUrl
Purview,Exact Data Match Classification,Success,,"Exact Data Match Classification is active in O365 w/o Teams Bundle M5, protecting sensitive data that Copilot may access with precise classification",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
Purview,Content Explorer (Standard),Success,,"Content Explorer (Standard) is active in O365 w/o Teams Bundle M5, enabling visibility into content classifications for Copilot governance",,Audit Copilot Data Access,https://learn.microsoft.com/purview/data-classification-content-explorer/
Purview,Content Explorer (Premium),Success,,"Content Explorer (Premium) is active in O365 w/o Teams Bundle M5, providing visibility into labeled content that Copilot accesses",,Content Classification Visibility,https://learn.microsoft.com/purview/data-classification-content-explorer
Purview,Information Protection and Governance Analytics - Premium,Success,,"Information Protection and Governance Analytics - Premium is active in O365 w/o Teams Bundle M5, tracking how Copilot accesses and processes protected content",,Monitor AI Data Access Patterns,https://learn.microsoft.com/purview/data-classification-overview
Purview,Microsoft Purview eDiscovery,Success,,"Microsoft Purview eDiscovery is active in O365 w/o Teams Bundle M5, enabling legal hold and eDiscovery of data including Copilot interactions",,Microsoft 365 Documentation,https://learn.microsoft.com/microsoft-365/
Purview,Customer Lockbox (Enterprise A),Success,,"Customer Lockbox (Enterprise A) is active in O365 w/o Teams Bundle M5, requiring approval for Microsoft access to Copilot-indexed content",,Control Microsoft Data Access,https://learn.microsoft.com/purview/customer-lockbox-requests
Purview,Customer Lockbox (Enterprise A) - Configuration,Success,High,Customer Lockbox license active but DISABLED - Microsoft support can access data without approval,"Enable Customer Lockbox in Microsoft 365 admin center. Once enabled, Microsoft engineers must request and receive approval before accessing your tenant data during support cases. This includes Copilot interactions, AI-generated content, and service diagnostics. Essential for compliance with data sovereignty and privacy requirements.",Enable Customer Lockbox,https://learn.microsoft.com/purview/customer-lockbox-requests#enable-customer-lockbox
Purview,Microsoft 365 Audit Platform,Success,,"Microsoft 365 Audit Platform is active in O365 w/o Teams Bundle M5, logging Copilot activities for compliance and security",,Audit Copilot Usage,https://learn.microsoft.com/purview/audit-solutions-overview/
Purview,Microsoft 365 Audit Platform - Audit Status,Success,High,Audit Platform license active but Unified Audit is DISABLED - NO Copilot events logged,"Enable audit logging IMMEDIATELY. Run in Exchange Online PowerShell: Set-AdminAuditLogConfig -UnifiedAuditLogIngestionEnabled $true. Without auditing: 1) No record of Copilot accessing sensitive data (compliance violation), 2) Cannot investigate security incidents involving AI, 3) No visibility into insider risk via Copilot, 4) Fail regulatory audits (SOC 2, HIPAA, GDPR require audit trails). Enable now before Copilot adoption scales.",Enable Audit Logging,https://learn.microsoft.com/purview/audit-log-enable-disable
Purview,Insider Risk Management,Success,,"Insider Risk Management is active in O365 w/o Teams Bundle M5, monitoring for data exfiltration risks through Copilot usage",,Detect Copilot Misuse with Insider Risk,https://learn.microsoft.com/purview/insider-risk-management
